MFile 1 2 480
MTrk
0 Meta 0x08  47 79 6d 6e 6f 70 e9 64 69 65 20 31 00
0 Meta 0x0a  45 2e 20 53 61 74 69 65 00
0 TimeSig 3/4 24 8
31679 On ch=1 n=72 v=0
31679 On ch=1 n=64 v=0
31679 On ch=1 n=60 v=0
31679 On ch=1 n=57 v=0
31680 On ch=1 n=76 v=49
32159 On ch=1 n=76 v=0
32160 On ch=1 n=74 v=49
32160 On ch=1 n=64 v=49
32160 On ch=1 n=59 v=49
32160 On ch=1 n=55 v=49
32639 On ch=1 n=74 v=0
32640 On ch=1 n=71 v=49
33119 On ch=1 n=71 v=0
33119 On ch=1 n=64 v=0
33119 On ch=1 n=59 v=0
33119 On ch=1 n=55 v=0
33120 On ch=1 n=74 v=49
33599 On ch=1 n=74 v=0
33600 On ch=1 n=72 v=49
33600 On ch=1 n=64 v=49
33600 On ch=1 n=59 v=49
33600 On ch=1 n=55 v=49
33600 On ch=1 n=50 v=49
34079 On ch=1 n=72 v=0
34080 On ch=1 n=71 v=49
34559 On ch=1 n=71 v=0
34559 On ch=1 n=64 v=0
34559 On ch=1 n=59 v=0
34559 On ch=1 n=55 v=0
34559 On ch=1 n=50 v=0
34560 On ch=1 n=74 v=49
35040 On ch=1 n=62 v=49
35040 On ch=1 n=57 v=49
35040 On ch=1 n=52 v=49
35040 On ch=1 n=48 v=49
35999 On ch=1 n=62 v=0
35999 On ch=1 n=57 v=0
35999 On ch=1 n=52 v=0
35999 On ch=1 n=48 v=0
36480 On ch=1 n=62 v=49
36480 On ch=1 n=57 v=49
36480 On ch=1 n=54 v=49
36480 On ch=1 n=48 v=49
36959 On ch=1 n=74 v=0
36960 On ch=1 n=74 v=49
37439 On ch=1 n=74 v=0
37439 On ch=1 n=62 v=0
37439 On ch=1 n=57 v=0
37439 On ch=1 n=54 v=0
37439 On ch=1 n=48 v=0
37440 On ch=1 n=76 v=49
37919 On ch=1 n=76 v=0
37920 On ch=1 n=77 v=49
37920 On ch=1 n=65 v=49
37920 On ch=1 n=60 v=49
37920 On ch=1 n=57 v=49
38399 On ch=1 n=77 v=0
38400 On ch=1 n=79 v=49
38879 On ch=1 n=79 v=0
38879 On ch=1 n=65 v=0
38879 On ch=1 n=60 v=0
38879 On ch=1 n=57 v=0
38880 On ch=1 n=81 v=49
39359 On ch=1 n=81 v=0
39360 On ch=1 n=72 v=49
39360 On ch=1 n=65 v=49
39360 On ch=1 n=60 v=49
39360 On ch=1 n=57 v=49
39839 On ch=1 n=72 v=0
39840 On ch=1 n=74 v=49
40319 On ch=1 n=74 v=0
40319 On ch=1 n=65 v=0
40319 On ch=1 n=60 v=0
40319 On ch=1 n=57 v=0
40320 On ch=1 n=76 v=49
40799 On ch=1 n=76 v=0
40800 On ch=1 n=74 v=49
40800 On ch=1 n=64 v=49
40800 On ch=1 n=59 v=49
40800 On ch=1 n=55 v=49
40800 On ch=1 n=50 v=49
41279 On ch=1 n=74 v=0
41280 On ch=1 n=71 v=49
41759 On ch=1 n=71 v=0
41759 On ch=1 n=64 v=0
41759 On ch=1 n=59 v=0
41759 On ch=1 n=55 v=0
41759 On ch=1 n=50 v=0
41760 On ch=1 n=74 v=49
42240 On ch=1 n=62 v=49
42240 On ch=1 n=57 v=49
42240 On ch=1 n=52 v=49
42240 On ch=1 n=48 v=49
43199 On ch=1 n=62 v=0
43199 On ch=1 n=57 v=0
43199 On ch=1 n=52 v=0
43199 On ch=1 n=48 v=0
43680 On ch=1 n=62 v=49
43680 On ch=1 n=57 v=49
43680 On ch=1 n=54 v=49
43680 On ch=1 n=48 v=49
44159 On ch=1 n=74 v=0
44160 On ch=1 n=74 v=49
44639 On ch=1 n=74 v=0
44639 On ch=1 n=62 v=0
44639 On ch=1 n=57 v=0
44639 On ch=1 n=54 v=0
44639 On ch=1 n=48 v=0
44640 On ch=1 n=79 v=49
45120 On ch=1 n=67 v=49
45120 On ch=1 n=64 v=49
45120 On ch=1 n=59 v=49
46079 On ch=1 n=79 v=0
46079 On ch=1 n=67 v=0
46079 On ch=1 n=64 v=0
46079 On ch=1 n=59 v=0
46080 On ch=1 n=78 v=49
46560 On ch=1 n=66 v=49
46560 On ch=1 n=61 v=49
46560 On ch=1 n=57 v=49
47519 On ch=1 n=78 v=0
47519 On ch=1 n=66 v=0
47519 On ch=1 n=61 v=0
47519 On ch=1 n=57 v=0
47520 On ch=1 n=71 v=49
47999 On ch=1 n=71 v=0
48000 On ch=1 n=69 v=49
48000 On ch=1 n=66 v=49
48000 On ch=1 n=62 v=49
48000 On ch=1 n=59 v=49
48479 On ch=1 n=69 v=0
48480 On ch=1 n=71 v=49
48959 On ch=1 n=71 v=0
48959 On ch=1 n=66 v=0
48959 On ch=1 n=62 v=0
48959 On ch=1 n=59 v=0
48960 On ch=1 n=73 v=49
49439 On ch=1 n=73 v=0
49440 On ch=1 n=74 v=49
49440 On ch=1 n=69 v=49
49440 On ch=1 n=64 v=49
49440 On ch=1 n=61 v=49
49919 On ch=1 n=74 v=0
49920 On ch=1 n=76 v=49
50399 On ch=1 n=76 v=0
50399 On ch=1 n=69 v=0
50399 On ch=1 n=64 v=0
50399 On ch=1 n=61 v=0
50400 On ch=1 n=73 v=49
50879 On ch=1 n=73 v=0
50880 On ch=1 n=74 v=49
50880 On ch=1 n=69 v=49
50880 On ch=1 n=66 v=49
50880 On ch=1 n=61 v=49
50880 On ch=1 n=57 v=49
51359 On ch=1 n=74 v=0
51360 On ch=1 n=76 v=49
51839 On ch=1 n=76 v=0
51839 On ch=1 n=69 v=0
51839 On ch=1 n=66 v=0
51839 On ch=1 n=61 v=0
51839 On ch=1 n=57 v=0
51840 On ch=1 n=66 v=49
52320 On ch=1 n=62 v=49
52320 On ch=1 n=57 v=49
52799 On ch=1 n=62 v=0
52799 On ch=1 n=57 v=0
52800 On ch=1 n=67 v=49
52800 On ch=1 n=62 v=49
52800 On ch=1 n=59 v=49
53279 On ch=1 n=66 v=0
53279 On ch=1 n=67 v=0
53279 On ch=1 n=62 v=0
53279 On ch=1 n=59 v=0
53280 On ch=1 n=72 v=49
53280 On ch=1 n=69 v=49
53280 On ch=1 n=64 v=49
53280 On ch=1 n=60 v=49
54719 On ch=1 n=72 v=0
54719 On ch=1 n=69 v=0
54719 On ch=1 n=64 v=0
54719 On ch=1 n=60 v=0
54720 On ch=1 n=74 v=49
54720 On ch=1 n=69 v=49
54720 On ch=1 n=66 v=49
54720 On ch=1 n=62 v=49
56159 On ch=1 n=74 v=0
56159 On ch=1 n=69 v=0
56159 On ch=1 n=66 v=0
56159 On ch=1 n=62 v=0
56640 On ch=1 n=66 v=33
56640 On ch=1 n=62 v=33
56640 On ch=1 n=59 v=33
57599 On ch=1 n=66 v=0
57599 On ch=1 n=62 v=0
57599 On ch=1 n=59 v=0
58080 On ch=1 n=66 v=33
58080 On ch=1 n=61 v=33
58080 On ch=1 n=57 v=33
59039 On ch=1 n=66 v=0
59039 On ch=1 n=61 v=0
59039 On ch=1 n=57 v=0
59520 On ch=1 n=66 v=33
59520 On ch=1 n=62 v=33
59520 On ch=1 n=59 v=33
60479 On ch=1 n=66 v=0
60479 On ch=1 n=62 v=0
60479 On ch=1 n=59 v=0
60960 On ch=1 n=66 v=33
60960 On ch=1 n=61 v=33
60960 On ch=1 n=57 v=33
61919 On ch=1 n=66 v=0
61919 On ch=1 n=61 v=0
61919 On ch=1 n=57 v=0
62400 On ch=1 n=78 v=33
62400 On ch=1 n=66 v=33
62400 On ch=1 n=62 v=33
62400 On ch=1 n=59 v=33
62879 On ch=1 n=78 v=0
62880 On ch=1 n=81 v=33
63359 On ch=1 n=81 v=0
63359 On ch=1 n=66 v=0
63359 On ch=1 n=62 v=0
63359 On ch=1 n=59 v=0
63360 On ch=1 n=79 v=33
63839 On ch=1 n=79 v=0
63840 On ch=1 n=78 v=33
63840 On ch=1 n=66 v=33
63840 On ch=1 n=61 v=33
63840 On ch=1 n=57 v=33
64319 On ch=1 n=78 v=0
64320 On ch=1 n=73 v=33
64799 On ch=1 n=73 v=0
64799 On ch=1 n=66 v=0
64799 On ch=1 n=61 v=0
64799 On ch=1 n=57 v=0
64800 On ch=1 n=71 v=33
65279 On ch=1 n=71 v=0
65280 On ch=1 n=73 v=33
65280 On ch=1 n=66 v=33
65280 On ch=1 n=62 v=33
65280 On ch=1 n=59 v=33
65759 On ch=1 n=73 v=0
65760 On ch=1 n=74 v=33
66239 On ch=1 n=74 v=0
66239 On ch=1 n=66 v=0
66239 On ch=1 n=62 v=0
66239 On ch=1 n=59 v=0
